Year,Rank,Company,Industry,Country,Sales,Profits,Assets,Market Value,Region
2012,1808,Dubai Islamic Bank,Banking,United Arab Emirates,1363,274,24658,2295,Asia
2012,1808,Monster Beverage,"Food, Drink & Tobacco",United States of America,1703,286,1362,10378,NorthAmerica
2012,1810,Hosken Consolidated,Diversified Financials,South Africa,942,948,2320,1431,Africa
2012,1810,Polyus Gold,Diversified Metals & Mining,Russia,1742,331,4011,8370,Europe
2012,1810,TMK,Diversified Metals & Mining,Russia,6754,380,6943,3009,Europe
2012,1813,Cincinnati Financial,Insurance,United States of America,3803,166,15668,5767,NorthAmerica
2012,1814,Awa Bank,Banking,Japan,831,51,33163,1446,Asia
2012,1815,Inner Mongolia Baotou Steel,Diversified Metals & Mining,China,6802,79,7898,5801,Asia
2012,1816,Hexagon ,Capital Goods,Sweden,2826,385,6850,6977,Europe
2012,1816,Samsung Card,Diversified Financials,South Korea,2771,324,14006,4585,Asia
2012,1818,Soho China Ltd.,Real Estate,China,903,618,9339,3736,Asia
2012,1818,Yamanashi Chuo Bank,Banking,Japan,646,49,32949,820,Asia
2012,1820,Oita Bank,Banking,Japan,686,72,32870,537,Asia
2012,1821,Aichi Bank,Banking,Japan,642,61,32843,662,Asia
2012,1822,First Niagara Financial,Banking,United States of America,1311,174,32811,3599,NorthAmerica
2012,1822,Wing Hang Bank,Banking,Hong Kong,834,273,24106,2929,Asia
2012,1824,Enagas,Oil & Gas Operations,Spain,1449,472,9980,4452,Europe
2012,1824,Energía de Bogotá,Utilities,Colombia,486,569,6157,5144,SouthAmerica
2012,1826,Microchip Technology,Semiconductors,United States of America,1424,382,3021,7006,NorthAmerica
2012,1827,Kansas City Southern,Transportation,United States of America,2098,330,6173,8209,NorthAmerica
2012,1828,Yamazaki Baking,"Food, Drink & Tobacco",Japan,12117,104,7894,3040,Asia
2012,1829,Dixons Retail,Retailing,United Kingdom,13613,-399,5694,972,Europe
2012,1830,Aryzta,"Food, Drink & Tobacco",Switzerland,6263,344,7166,4482,Europe
2012,1830,Bank Muscat,Banking,Oman,961,305,18743,2960,Asia
2012,1832,CR Bard,Health Care Equipment & Services,United States of America,2896,328,3931,8177,NorthAmerica
2012,1833,Credit Saison,Diversified Financials,Japan,4082,154,26530,3882,Asia
2012,1833,Level 3 Communications,Telecommunications Services,United States of America,4333,-756,13188,5519,NorthAmerica
2012,1835,Bank of Iwate,Banking,Japan,537,13,31216,836,Asia
2012,1835,Iliad,IT Software & Services,France,2955,350,5002,7585,Europe
2012,1837,Goodman Group,Real Estate,Australia,772,420,8084,5868,Oceanic
2012,1838,MeadWestvaco,Materials,United States of America,6060,246,8763,5341,NorthAmerica
2012,1838,Thai Beverage,"Food, Drink & Tobacco",Thailand,4188,382,3155,6086,Asia
2012,1840,American Equity Investment,Insurance,United States of America,1140,86,30875,753,NorthAmerica
2012,1841,Shikoku Bank,Banking,Japan,588,48,30635,801,Asia
2012,1842,CBRE Group,Real Estate,United States of America,5905,239,7219,6831,NorthAmerica
2012,1842,Tokyo Tomin Bank,Banking,Japan,637,9,30531,481,Asia
2012,1844,CAP,Diversified Metals & Mining,Chile,2573,408,4918,6468,SouthAmerica
2012,1845,Fuji Electric Holdings,Capital Goods,Japan,8289,182,9667,1852,Asia
2012,1846,Interactive Brokers Group,Diversified Financials,United States of America,1445,62,30403,768,NorthAmerica
2012,1847,Dragon Oil,Oil & Gas Operations,United Arab Emirates,1066,601,3359,4881,Asia
2012,1848,Dean Foods,"Food, Drink & Tobacco",United States of America,13055,-1576,5754,2213,NorthAmerica
2012,1849,Suzano Papel e Celulose,Materials,Brazil,2719,463,11377,2124,SouthAmerica
2012,1850,Bunzl,Business Services & Supplies,United Kingdom,7934,192,4240,5249,Europe
2012,1850,Hanjin Shipping,Transportation,South Korea,8219,-721,9719,1937,Asia
2012,1850,SAIC,Aerospace & Defense,United States of America,10587,59,6667,4490,NorthAmerica
2012,1853,Nippon Steel Trading,Diversified Metals & Mining,Japan,12986,89,4005,426,Asia
2012,1854,Laurentian Bank,Banking,Canada,1278,123,29836,1136,NorthAmerica
2012,1855,Inventec,Technology Hardware & Equipment,Taiwan,12929,119,4361,1620,Asia
2012,1856,McCormick & Co,"Food, Drink & Tobacco",United States of America,3698,374,4088,6883,NorthAmerica
2012,1857,Shanghai Material Trading ,Trading Companies,China,12800,17,1453,437,Asia
2012,1858,RR Donnelley & Sons,Media,United States of America,10611,-123,8282,2345,NorthAmerica
2012,1858,Inner Mongolia Rare-Earth,Diversified Metals & Mining,China,798,114,1330,13210,Asia
2012,1860,Metropolitan Bank & Trust,Banking,Philippines,1453,252,21680,4386,Asia
2012,1861,Akita Bank,Banking,Japan,629,32,29478,637,Asia
2012,1861,Clariant,Chemicals,Switzerland,7857,242,9506,4144,Europe
2012,1861,Toho Holdings,Drugs & Biotechnology,Japan,12747,88,6245,1327,Asia
2012,1864,FMC,Chemicals,United States of America,3378,366,3744,6977,NorthAmerica
2012,1865,Tochigi Bank,Banking,Japan,613,59,29413,434,Asia
2012,1866,K's Holdings,Retailing,Japan,9274,282,3712,1750,Asia
2012,1867,BEKB-BCBE,Banking,Switzerland,566,147,29357,2584,Europe
2012,1868,FirstGroup,Transportation,United Kingdom,10303,165,8393,2234,Europe
2012,1868,HCL Technologies,IT Software & Services,India,3519,368,3282,6860,Asia
2012,1868,Nokian Tyres,Consumer Durables,Finland,1887,400,2428,6391,Europe
2012,1871,DIA,Retailing,Spain,12668,128,4221,3275,Europe
2012,1872,China Resources Cement ,Construction,Hong Kong,2992,538,6484,5081,Asia
2012,1873,Abu Dhabi Islamic Bank,Banking,United Arab Emirates,1205,282,20238,2202,Asia
2012,1874,Luzerner Kantonalbank,Banking,Switzerland,767,185,28720,2925,Europe
2012,1875,Eighteenth Bank,Banking,Japan,619,83,28695,559,Asia
2012,1876,Chipotle Mexican Grill,"Hotels, Restaurants & Leisure",United States of America,2270,215,1425,12846,NorthAmerica
2012,1877,Lite-On Technology,Technology Hardware & Equipment,Taiwan,7886,308,6604,2907,Asia
2012,1878,Andritz,Capital Goods,Austria,5953,299,5789,5004,Europe
2012,1878,Avis Budget Group,Business Services & Supplies,United States of America,5900,-29,12938,1507,NorthAmerica
2012,1878,Banco de Valencia,Banking,Spain,1193,-1149,28440,172,Europe
2012,1878,Chimera Investment,Real Estate,United States of America,902,528,9714,3030,NorthAmerica
2012,1878,DCC,Conglomerates,Ireland,12295,206,4406,2142,Europe
2012,1883,Kesko,Food Markets,Finland,12254,236,5439,3223,Europe
2012,1883,Xiamen C&D,Trading Companies,China,10028,266,6226,2789,Asia
2012,1885,FIBI Holding,Banking,Israel,1225,48,28392,343,Asia
2012,1886,Thanachart Capital,Banking,Thailand,2115,158,28373,1280,Asia
2012,1887,Symetra Financial,Insurance,United States of America,1999,200,28213,1353,NorthAmerica
2012,1887,Cobalt International Energy,Oil & Gas Operations,United States of America,0,-134,2528,12715,NorthAmerica
2012,1889,Autodesk,IT Software & Services,United States of America,2216,285,3228,9239,NorthAmerica
2012,1889,Novozymes,Drugs & Biotechnology,Denmark,1830,318,2370,7860,Europe
2012,1889,St Galler Kantonalbank,Banking,Switzerland,752,145,27884,2282,Europe
2012,1892,Aomori Bank,Banking,Japan,507,29,27858,640,Asia
2012,1892,Hellenic Telecom,Telecommunications Services,Greece,6526,155,11482,1801,Europe
2012,1892,LG International,Trading Companies,South Korea,12071,214,4283,1909,Asia
2012,1895,CGI Group,IT Software & Services,Canada,4088,411,4497,5590,NorthAmerica
2012,1896,DVB Bank,Banking,Germany,1061,39,27841,1442,Europe
2012,1896,Givaudan,Chemicals,Switzerland,4174,269,7077,8573,Europe
2012,1898,African Rainbow,Diversified Metals & Mining,South Africa,2199,489,4753,5333,Africa
2012,1898,Bumi Resources,Diversified Metals & Mining,Indonesia,4410,314,8772,5392,Asia
2012,1900,Manila Electric,Utilities,Philippines,5624,222,4084,6828,Asia
2012,1901,Nippon Meat Packers,"Food, Drink & Tobacco",Japan,11901,201,6934,2734,Asia
2012,1902,Health Net,Health Care Equipment & Services,United States of America,11901,72,3608,3206,NorthAmerica
2012,1902,NXP Semiconductors,Semiconductors,Netherlands,3887,362,6626,6587,Europe
2012,1904,Ambac Financial Group,Insurance,United States of America,568,-1079,27627,8,NorthAmerica
2012,1904,Hainan Airlines ,Airline,China,3201,457,10859,3184,Asia
2012,1904,LIG Insurance,Insurance,South Korea,6793,66,11021,1343,Asia
2012,1907,Banque Centrale Populaire,Banking,Morocco,1753,226,27626,3655,Africa
2012,1908,Toyota Boshoku,Consumer Durables,Japan,11834,138,5897,2277,Asia
2012,1909,ARM Holdings,Semiconductors,United Kingdom,764,175,1855,12343,Europe
2012,1909,Hanwha Chemical,Chemicals,South Korea,7176,229,10229,3401,Asia
2012,1909,PDG Group,Real Estate,Brazil,3150,476,9242,4437,SouthAmerica
2012,1912,Gannett,Media,United States of America,5240,459,6616,3604,NorthAmerica
2012,1913,Constellation Brands,"Food, Drink & Tobacco",United States of America,2742,622,7225,4546,NorthAmerica
2012,1914,Aspen Pharmacare Holdings,Drugs & Biotechnology,South Africa,1808,381,3921,6437,Africa
2012,1915,Incitec Pivot,Chemicals,Australia,3774,448,6762,5654,Oceanic
2012,1916,Hanjin Shipping Holdings,Transportation,South Korea,8581,106,9005,344,Asia
2012,1917,Synovus Financial,Banking,United States of America,1481,-61,27163,1648,NorthAmerica
2012,1918,Kumho Industrial,Construction,South Korea,6824,91,10700,714,Asia
2012,1919,Hokuetsu Bank,Banking,Japan,589,64,27098,534,Asia
2012,1920,DGB Financial Group ,Diversified Financials,South Korea,1171,185,27005,1953,Asia
2012,1920,Doha Bank,Banking,Qatar,796,341,14396,3406,Asia
2012,1922,Alliance Data Systems,Business Services & Supplies,United States of America,3173,315,8980,6249,NorthAmerica
2012,1923,Shangri-La Asia,"Hotels, Restaurants & Leisure",Hong Kong,1574,287,8535,7380,Asia
2012,1923,Valiant Holding,Banking,Switzerland,739,136,26964,1941,Europe
2012,1925,Chiba Kogyo Bank,Banking,Japan,631,90,26930,305,Asia
2012,1926,MBIA,Insurance,United States of America,-1557,-1319,26873,1933,NorthAmerica
2012,1927,Sumitomo Heavy Industries,Capital Goods,Japan,6593,336,7463,3520,Asia
2012,1928,Bluescope Steel,Diversified Metals & Mining,Australia,9767,-1130,8171,1453,Oceanic
2012,1929,Hatteras Financial,Real Estate,United States of America,426,284,18587,2214,NorthAmerica
2012,1929,Sydbank,Banking,Denmark,988,33,26799,1365,Europe
2012,1931,Challenger Ltd,Diversified Financials,Australia,1535,280,19095,2144,Oceanic
2012,1932,Penske Automotive,Retailing,United States of America,11556,177,4502,2216,NorthAmerica
2012,1933,Fidea Holdings,Banking,Japan,634,44,26522,406,Asia
2012,1933,Kimco Realty,Real Estate,United States of America,874,169,9615,7981,NorthAmerica
2012,1935,Albemarle,Chemicals,United States of America,2869,436,3204,5725,NorthAmerica
2012,1935,Getinge,Health Care Equipment & Services,Sweden,3168,367,5965,6553,Europe
2012,1937,Coloplast,Health Care Equipment & Services,Denmark,1831,327,1633,7280,Europe
2012,1937,Watson Pharmaceuticals,Drugs & Biotechnology,United States of America,4584,261,6698,7479,NorthAmerica
2012,1939,Office Depot,Retailing,United States of America,11490,96,4251,989,NorthAmerica
2012,1939,Sonae,Food Markets,Portugal,7433,185,9741,1209,Europe
2012,1941,Crown Ltd,Casinos & Gaming,Australia,2550,360,5262,6669,Oceanic
2012,1941,LG Uplus,Telecommunications Services,South Korea,7927,73,9263,3036,Asia
2012,1943,Green Mountain Coffee,"Food, Drink & Tobacco",United States of America,3235,302,3218,7958,NorthAmerica
