Year,Country,Industry,Sales,Assets,Profits,Market Value,Sales Growth,Assets Growth,Profits Growth,Market Value Growth
2012,Japan,Oil & Gas Operations,284050,211519,8456,70637,22.53305437525612,15.964999808112989,165.57788944723617,-2.785538321795733
2012,Japan,Real Estate,44629,149374,2125,57735,1.1215842660986963,-1.3518600458324759,-8.365674859853389,-10.449497456260081
2012,Japan,Retailing,174983,139385,2361,44377,16.676335073646587,11.156744686789754,199.23954372623575,7.276331375250811
2012,Japan,Semiconductors,21734,23303,-519,13061,66.34011939384663,-10.321339234173566,-4425.0,-37.88462453036572
2012,Japan,Technology Hardware & Equipment,64668,48266,752,15336,8.64919354838709,5.186767205683651,-50.09953550099535,-25.37952510704554
2012,Japan,Telecommunications Services,201433,325475,11482,122283,14.881373331812476,16.34703033119449,33.838442708940434,-15.084788133827754
2012,Japan,Trading Companies,373114,508089,16119,130204,9.397704816133135,12.413050019469708,74.03368602893543,-2.786405447377849
2012,Japan,Transportation,204484,377516,6728,107768,15.97586152135937,12.797069492001455,133.28710124826628,-3.5140966757093106
2012,Japan,Utilities,205073,527694,-11650,72292,18.60923781651609,19.413448591891914,-300.17182130584195,-47.32401139617747
2013,Japan,Airline,31605,36665,2594,16484,93.50394906018491,65.61271963503319,826.4285714285714,113.55097810597226
2013,Japan,Banking,229665,10529071,36441,333472,6.229995004532918,5.663257513340536,29.485129517109044,14.972107872544349
2013,Japan,Business Services & Supplies,104424,187354,3475,71447,-6.334427641138795,-2.1639912688383167,-31.56754627806223,-22.392518085637935
2013,Japan,Capital Goods,192001,226252,8221,145812,-0.7028340918494025,0.5372306625844869,-4.783414408153808,-11.197997551751227
2013,Japan,Chemicals,156893,165660,3779,77203,-12.707738701295812,-13.074049198220127,-37.81471120618727,-10.34895198281368
2013,Japan,Construction,192656,202978,3661,81764,2.0477779543408126,0.26080513707087416,-14.998839099140937,9.581183408161898
2013,Japan,Consumer Durables,1330944,1604910,8601,724452,-2.265609338249386,2.7548158216716523,-75.472666609633,5.510964691900688
2013,Japan,Diversified Financials,47640,932656,934,57196,16.853491623537487,-1.0051734056803485,-7.524752475247521,35.47134059687351
2013,Japan,Diversified Metals & Mining,169876,178435,1134,55194,-7.343227572965927,-14.05030731585133,-69.49973103819258,-8.582880614813837
2013,Japan,Drugs & Biotechnology,160315,156243,4838,125556,1.5249482290208727,4.4077061351046165,-32.326199468457126,12.907025889589319
2013,Japan,Food Markets,64816,53914,1904,34498,-4.697769478466718,5.819545035231299,13.33333333333333,11.890243902439025
2013,Japan,"Food, Drink & Tobacco",99438,125858,5912,103275,-14.95792282430214,-6.421800066916983,76.90005984440455,13.55764473033152
2013,Japan,Health Care Equipment & Services,4671,8330,292,8276,18.313069908814583,67.6056338028169,-24.935732647814913,-7.808844825665595
2013,Japan,"Hotels, Restaurants & Leisure",4350,7479,388,13288,1.516919486581103,8.627450980392148,40.57971014492754,41.6329140908122
2013,Japan,Insurance,193560,1033427,-2520,68523,6.15857972588314,6.186916560061251,-295.04643962848303,0.7335646242502714
2013,Japan,Materials,35735,49635,-274,8344,-0.5344170122748904,3.1569540277662345,470.8333333333333,-23.715487292009506
2013,Japan,Media,83034,79592,1562,34949,9.312796208530806,15.142133815551539,25.361155698234338,19.43476180712187
2013,Japan,Oil & Gas Operations,313293,318888,6374,67538,10.2950184826615,50.760924550513195,-24.621570482497635,-4.387219162761724
2013,Japan,Real Estate,43448,167725,2345,89378,-2.6462613995384188,12.285270529007718,10.352941176470587,54.807309257815874
2013,Japan,Retailing,151002,134471,3236,41191,-13.704759890960839,-3.525486960576818,37.06056755612028,-7.179394731505062
2013,Japan,Semiconductors,18316,19708,-312,9634,-15.726511456703784,-15.427198214822123,-39.884393063583815,-26.23841972283899
2013,Japan,Technology Hardware & Equipment,64218,46644,-76,16092,-0.695861940990905,-3.360543653917869,-110.10638297872339,4.929577464788726
2013,Japan,Telecommunications Services,208765,331673,12322,134553,3.6399199733906595,1.9042937245564273,7.3157986413516785,10.034101224209424
2013,Japan,Trading Companies,412617,553045,20299,120971,10.587380800506008,8.848056147643435,25.9321297847261,-7.09117999447022
2013,Japan,Transportation,202638,382909,3701,129055,-0.902760118151058,1.4285487237627015,-44.99108204518431,19.752616732239623
2013,Japan,Utilities,209719,552099,-19117,42140,2.265534712029371,4.6248393955588,64.09442060085837,-41.70862612737233
2014,Japan,Airline,29195,32921,1831,16645,-7.625375731688022,-10.211373244238375,-29.414032382420974,0.9767046833292881
2014,Japan,Banking,193461,9067210,40658,304402,-15.763829926196848,-13.884045420531399,11.572130292802063,-8.7173735725938
2014,Japan,Business Services & Supplies,93842,153336,4923,75862,-10.133685742741127,-18.157071639783506,41.66906474820144,6.179405713325958
2014,Japan,Capital Goods,164488,199318,8737,172161,-14.32961286659965,-11.904425154252785,6.276608685074803,18.070529174553542
2014,Japan,Chemicals,134548,145616,3935,69390,-14.242190537500077,-12.099480864421109,4.128076210637732,-10.120073054155931
