Year,Country,Industry,Sales,Assets,Profits,Market Value,Sales Growth,Assets Growth,Profits Growth,Market Value Growth,clusters
2013,United States of America,Food Markets,231328,68673,3186,59137,4.18021491,2.01586547,50.42492918,9.889436031,0
2013,United States of America,"Food, Drink & Tobacco",504691,602998,48165,899135,-0.07780884,8.295887616,2.978277602,10.22661101,0
2013,United States of America,Health Care Equipment & Services,710170,817396,46645,800501,16.37533368,21.01108558,-2.053629549,11.6373221,0
2013,United States of America,"Hotels, Restaurants & Leisure",84048,76717,10337,216021,0.028563268,-5.802831428,4.720899605,-2.238785707,0
2013,United States of America,IT Software & Services,331014,542048,64382,1196870,5.149569731,14.09327036,4.412837936,11.13122895,0
2013,United States of America,Insurance,512939,3898345,27105,395737,18.8343581,9.374912323,-33.40949292,19.34671548,0
2013,United States of America,Materials,68332,83734,1962,69482,9.34694596,14.57540845,-30.22759602,40.0705574,0
2013,United States of America,Media,324674,646289,33786,583979,-1.123150669,0.815994809,20.95804096,27.88328041,0
2013,United States of America,Oil & Gas Operations,1505852,1647753,120922,1495398,-1.030149994,7.712889047,-3.799583128,3.696004016,0
2013,United States of America,Real Estate,51895,626655,12247,361371,16.73339932,38.06379547,50.41758782,23.128058,0
2013,United States of America,Retailing,1491091,769359,50654,1055549,8.140032433,0.146179039,7.749250175,15.81621681,0
2013,United States of America,Semiconductors,134628,223651,22265,369218,12.21898991,34.85543731,-2.282203204,21.84568066,0
2013,United States of America,Technology Hardware & Equipment,457367,571796,49090,739399,0.169955168,1.129445889,-22.43517831,-26.47617135,0
2013,United States of America,Telecommunications Services,323643,681314,9311,423247,4.833490433,1.047532744,139.4804527,14.11627675,0
2013,United States of America,Transportation,62375,119731,8832,144910,13.60324919,7.461092463,13.34702259,21.32248288,0
2013,United States of America,Utilities,285468,1039962,19117,449820,-2.454792723,10.13781498,-21.18001154,13.17763923,0
2014,United States of America,Aerospace & Defense,241822,261777,17338,311467,-2.767144879,-0.216508796,25.56488992,47.08421286,0
2014,United States of America,Air Courier,106734,71981,6391,137269,2.66043398,-2.262142382,116.7910448,10.94506454,0
2014,United States of America,Airline,124605,148169,10497,88949,-3.851199111,10.83856972,-2073.120301,141.7486547,0
2014,United States of America,Banking,507986,10465678,89450,1196275,-3.507265647,1.736564183,14.27220931,21.33984793,1
2014,United States of America,Business Services & Supplies,136231,242707,10650,293558,5.550605499,6.667516349,-0.290234997,37.97677184,0
2014,United States of America,Capital Goods,231856,283703,19207,337118,-8.065520208,-0.355793141,0.866505619,13.12912341,0
2014,United States of America,Casinos & Gaming,37761,81900,-70,106025,10.95407399,-2.178586785,-94.35028249,63.60872786,0
2014,United States of America,Chemicals,225250,315008,26567,420254,1.930917763,3.965438145,41.96323608,22.58593331,0
2014,United States of America,Conglomerates,326416,932460,33691,618250,1.867796811,1.771056052,9.428998311,15.64872716,0
2014,United States of America,Construction,83704,67230,5614,63248,12.14362272,-5.301856495,98.58507252,27.25955734,0
2014,United States of America,Consumer Durables,907414,911059,54487,969670,8.408519626,9.403399812,5.61952392,25.17556361,0
2014,United States of America,Diversified Financials,617620,9367665,200301,1179801,1.607137275,2.635879622,192.0733752,28.57479138,1
2014,United States of America,Diversified Metals & Mining,115621,198315,-2395,102235,-7.601511991,1.36678917,-203.3664221,-0.832258252,0
2014,United States of America,Drugs & Biotechnology,548733,628966,54000,1218644,0.886171134,1.627911862,9.18796506,30.94265422,0
2014,United States of America,Food Markets,211906,69978,5272,73162,-8.395870798,1.900310166,65.47394852,23.71611681,0
2014,United States of America,"Food, Drink & Tobacco",549563,603091,53642,950099,8.890984781,0.015422937,11.37132773,5.668114354,0
2014,United States of America,Health Care Equipment & Services,730128,812253,49949,1022610,2.810313024,-0.629193194,7.08328867,27.74624891,0
2014,United States of America,"Hotels, Restaurants & Leisure",139012,187367,11040,325247,65.39596421,144.2313959,6.800812615,50.56267678,0
2014,United States of America,IT Software & Services,353628,618707,72256,1585056,6.831735214,14.14247447,12.23012643,32.43343053,0
2014,United States of America,Insurance,484322,4071243,40498,482930,-5.579025966,4.435164153,49.41154768,22.03306742,0
2014,United States of America,Materials,81206,97078,4297,79130,18.84036762,15.93617885,119.011213,13.88561066,0
2014,United States of America,Media,362037,716465,46058,790751,11.50785095,10.85830023,36.32273723,35.4074376,0
2014,United States of America,Oil & Gas Operations,1552712,1859885,116472,1823750,3.111859598,12.87401692,-3.680058219,21.95749894,0
2014,United States of America,Real Estate,57374,576644,12994,348023,10.55785721,-7.980627299,6.099452927,-3.693710895,0
2014,United States of America,Retailing,1564110,797829,52817,1230230,4.897018358,3.700483129,4.270146484,16.54882909,0
2014,United States of America,Semiconductors,137220,241751,25186,481219,1.925305286,8.092966273,13.11924545,30.33465324,0
2014,United States of America,Technology Hardware & Equipment,417008,572904,60423,847479,-8.824204632,0.193775402,23.08616826,14.617277,0
2014,United States of America,Telecommunications Services,287495,667221,29836,444847,-11.16909681,-2.068502922,220.4381914,5.103402977,0
2014,United States of America,Transportation,65940,127471,9265,173086,5.715430862,6.464491235,4.902626812,19.4437927,0
